Time,NodeID,q0,q1,q2,q3,leftActivity,confirmLeft,rightActivity,confirmRight,
586634,5.0,0.60202676,0.34643012,-0.71419686,0.0640131,0.0,0.0,0.0,0.0,
585869,6.0,0.68410593,0.22643486,-0.69094354,-0.00321443,0.0,0.0,0.0,0.0,
580016,0.0,-0.4687339,0.61021256,0.4875602,0.40846497,0.0,0.0,0.0,0.0,
588196,1.0,-0.7417491,-0.10238413,-0.52612865,-0.39892837,0.0,0.0,0.0,0.0,
587326,2.0,-0.9009084,-0.09458242,-0.39272475,0.14769948,0.0,0.0,0.0,0.0,
587749,3.0,0.8632961,0.38152555,0.2855647,0.1556938,0.0,0.0,0.0,0.0,
584983,4.0,-0.6707889,-0.35842875,0.53480035,0.36357212,0.0,0.0,0.0,0.0,
586676,5.0,0.59552574,0.29548755,-0.7359092,0.11489484,0.0,0.0,0.0,0.0,
580057,0.0,-0.46336347,0.61378366,0.486559,0.41043097,0.0,0.0,0.0,0.0,
588237,1.0,-0.7416341,-0.10260417,-0.5259727,-0.3992914,0.0,0.0,0.0,0.0,
587367,2.0,-0.90152174,-0.09499098,-0.391268,0.14756115,0.0,0.0,0.0,0.0,
587790,3.0,0.8630272,0.38146913,0.2866774,0.15527694,0.0,0.0,0.0,0.0,
585024,4.0,-0.69199544,-0.3347244,0.5481713,0.32439414,0.0,0.0,0.0,0.0,
586717,5.0,0.58788043,0.23747662,-0.7502733,0.17864332,0.0,0.0,0.0,0.0,
585910,6.0,0.6875971,0.16052966,-0.70485383,0.03705295,0.0,0.0,0.0,0.0,
585950,6.0,0.68564785,0.09349219,-0.714159,0.0890389,0.0,0.0,0.0,0.0,
580098,0.0,-0.45899495,0.6168222,0.48581004,0.41167,0.0,0.0,0.0,0.0,
588278,1.0,-0.741405,-0.10258421,-0.52654564,-0.39896673,0.0,0.0,0.0,0.0,
587408,2.0,-0.9020436,-0.09470434,-0.39012757,0.14757505,0.0,0.0,0.0,0.0,
587831,3.0,0.86314934,0.3814394,0.28639358,0.1551952,0.0,0.0,0.0,0.0,
585065,4.0,-0.7121572,-0.29588032,0.56858176,0.2804681,0.0,0.0,0.0,0.0,
586758,5.0,0.5828555,0.17665704,-0.75060505,0.25008225,0.0,0.0,0.0,0.0,
585992,6.0,0.68509406,0.02681891,-0.7105515,0.14791769,0.0,0.0,0.0,0.0,
580139,0.0,-0.45541093,0.61867464,0.48674095,0.41177103,0.0,0.0,0.0,0.0,
588319,1.0,-0.74156934,-0.10258677,-0.5269588,-0.39811403,0.0,0.0,0.0,0.0,
587449,2.0,-0.90247566,-0.09423936,-0.3892326,0.14759432,0.0,0.0,0.0,0.0,
587872,3.0,0.8632464,0.38112223,0.28650013,0.155238,0.0,0.0,0.0,0.0,
585106,4.0,-0.72453976,-0.2498003,0.59564126,0.23357934,0.0,0.0,0.0,0.0,
586799,5.0,0.5753833,0.11143142,-0.7422973,0.32001746,0.0,0.0,0.0,0.0,
586033,6.0,0.6815305,-0.04077728,-0.6986312,0.2064343,0.0,0.0,0.0,0.0,
580180,0.0,-0.45305437,0.6201733,0.48780707,0.4108535,0.0,0.0,0.0,0.0,
588360,1.0,-0.74141335,-0.10258727,-0.52779454,-0.3972966,0.0,0.0,0.0,0.0,
587490,2.0,-0.9025397,-0.09364543,-0.3891621,0.14776734,0.0,0.0,0.0,0.0,
587913,3.0,0.8633996,0.38038835,0.28721794,0.15485896,0.0,0.0,0.0,0.0,
585147,4.0,-0.72873783,-0.19433685,0.6267235,0.18746914,0.0,0.0,0.0,0.0,
586840,5.0,0.56633645,0.0506828,-0.72373295,0.3870085,0.0,0.0,0.0,0.0,
586074,6.0,0.6780978,-0.10107116,-0.67767,0.25985503,0.0,0.0,0.0,0.0,
580221,0.0,-0.45306548,0.6214327,0.4881657,0.40850577,9.0,0.0,1.0,0.0,
588401,1.0,-0.7412184,-0.10231684,-0.52899534,-0.3961313,9.0,0.0,1.0,0.0,
587954,3.0,0.86361295,0.37973112,0.28781733,0.154168,9.0,0.0,1.0,0.0,
585188,4.0,-0.72863525,-0.13330063,0.65375453,0.1438388,9.0,0.0,1.0,0.0,
586881,5.0,0.5615916,-5.5538E-4,-0.69492275,0.44552192,9.0,0.0,1.0,0.0,
586115,6.0,0.6825618,-0.15185276,-0.64474994,0.30344182,9.0,0.0,1.0,0.0,
580262,0.0,-0.4524272,0.6225734,0.48919737,0.4062358,9.0,0.0,1.0,0.0,
588442,1.0,-0.74034935,-0.10201474,-0.53117234,-0.3949194,9.0,0.0,1.0,0.0,
587571,2.0,-0.90071446,-0.09175249,-0.39291888,0.15013093,9.0,0.0,1.0,0.0,
587995,3.0,0.8642082,0.3784075,0.28825215,0.1532714,9.0,0.0,1.0,0.0,
585229,4.0,-0.7309977,-0.07033857,0.66908103,0.0989069,9.0,0.0,1.0,0.0,
586922,5.0,0.56828326,-0.04771022,-0.65190965,0.49656117,9.0,0.0,1.0,0.0,
586156,6.0,0.6940936,-0.19384003,-0.5976785,0.34667736,9.0,0.0,1.0,0.0,
580303,0.0,-0.4521016,0.62352294,0.49021447,0.4039092,9.0,0.0,1.0,0.0,
588483,1.0,-0.7394233,-0.1015908,-0.53331405,-0.393876,9.0,0.0,1.0,0.0,
587612,2.0,-0.8984428,-0.09105634,-0.39761877,0.1517834,9.0,0.0,1.0,0.0,
588036,3.0,0.8646476,0.3775187,0.28896406,0.15163672,9.0,0.0,1.0,0.0,
585270,4.0,-0.7374176,-0.01294741,0.6710062,0.05031094,9.0,0.0,1.0,0.0,
586962,5.0,0.5844872,-0.09997056,-0.60256493,0.5311045,9.0,0.0,1.0,0.0,
586197,6.0,0.7081647,-0.23675919,-0.5437091,0.37891155,9.0,0.0,1.0,0.0,
580344,0.0,-0.4510629,0.6257987,0.4903944,0.40132445,9.0,0.0,1.0,0.0,
588524,1.0,-0.73847663,-0.10161304,-0.53542197,-0.392785,9.0,0.0,1.0,0.0,
587653,2.0,-0.89579135,-0.0911064,-0.4030155,0.15318456,9.0,0.0,1.0,0.0,
588077,3.0,0.8648572,0.37704125,0.2894367,0.15072419,9.0,0.0,1.0,0.0,
585310,4.0,-0.74453455,0.03906225,0.66394687,0.00387282,9.0,0.0,1.0,0.0,
587003,5.0,0.6020427,-0.15801558,-0.55654854,0.54733866,9.0,0.0,1.0,0.0,
586237,6.0,0.7085248,-0.28297034,-0.5064476,0.39759225,9.0,0.0,1.0,0.0,
580385,0.0,-0.4500802,0.62825894,0.48976627,0.39934567,9.0,0.0,1.0,0.0,
588565,1.0,-0.7374233,-0.10244428,-0.5366013,-0.39293852,9.0,0.0,1.0,0.0,
587694,2.0,-0.8933311,-0.09207239,-0.40795863,0.15388824,9.0,0.0,1.0,0.0,
588118,3.0,0.86447734,0.37751436,0.29048464,0.14969972,9.0,0.0,1.0,0.0,
585351,4.0,-0.7532642,0.08527987,0.6484397,-0.03887691,9.0,0.0,1.0,0.0,
587044,5.0,0.6136534,-0.21054097,-0.5205769,0.5520559,9.0,0.0,1.0,0.0,
586278,6.0,0.6968739,-0.32790166,-0.48583677,0.4091834,9.0,0.0,1.0,0.0,
580426,0.0,-0.4487794,0.62997705,0.48955223,0.3983644,9.0,0.0,1.0,0.0,
588606,1.0,-0.7361325,-0.10352708,-0.5376702,-0.39361343,9.0,0.0,1.0,0.0,
587735,2.0,-0.8908808,-0.09267951,-0.41290605,0.1545324,9.0,0.0,1.0,0.0,
588159,3.0,0.8640337,0.377793,0.2919051,0.14879245,9.0,0.0,1.0,0.0,
587085,5.0,0.6178137,-0.25529066,-0.49714607,0.5500911,9.0,0.0,1.0,0.0,
585392,4.0,-0.7631107,0.12658596,0.6266564,-0.07463013,9.0,0.0,1.0,0.0,
586319,6.0,0.6803177,-0.36766103,-0.47490883,0.41602677,9.0,0.0,1.0,0.0,
580467,0.0,-0.448248,0.6314084,0.49003792,0.396093,9.0,0.0,1.0,0.0,
588647,1.0,-0.7343194,-0.10470442,-0.5391525,-0.3946598,9.0,0.0,1.0,0.0,
587776,2.0,-0.8884168,-0.09281195,-0.41788167,0.15526101,9.0,0.0,1.0,0.0,
588200,3.0,0.8638395,0.37717557,0.29384047,0.14767294,9.0,0.0,1.0,0.0,
585433,4.0,-0.7747935,0.16192074,0.59891105,-0.10677961,9.0,0.0,1.0,0.0,
587126,5.0,0.61515397,-0.29704663,-0.48271683,0.5449377,9.0,0.0,1.0,0.0,
586360,6.0,0.66038203,-0.4049172,-0.4663081,0.42322347,9.0,0.0,1.0,0.0,
580508,0.0,-0.44600573,0.6336322,0.49031952,0.39472213,9.0,0.0,1.0,0.0,
588688,1.0,-0.732636,-0.10607473,-0.54036653,-0.39576057,9.0,0.0,1.0,0.0,
587817,2.0,-0.88667893,-0.09289228,-0.4213908,0.15566285,9.0,0.0,1.0,0.0,
588241,3.0,0.86310095,0.37736797,0.2961561,0.1468722,9.0,0.0,1.0,0.0,
587167,5.0,0.605692,-0.33703873,-0.4732492,0.5405566,9.0,0.0,1.0,0.0,
586401,6.0,0.63028026,-0.44480276,-0.4638701,0.43167543,9.0,0.0,1.0,0.0,
588729,1.0,-0.731223,-0.10788317,-0.54104173,-0.39696047,9.0,0.0,1.0,0.0,
587858,2.0,-0.8855498,-0.09345311,-0.4234849,0.15607214,9.0,0.0,1.0,0.0,
588769,1.0,-0.7300163,-0.10940437,-0.54128313,-0.39843327,9.0,0.0,1.0,0.0,
587899,2.0,-0.88400733,-0.09371491,-0.42635965,0.15682979,9.0,0.0,1.0,0.0,
588282,3.0,0.8624086,0.37805864,0.2978009,0.14583339,9.0,0.0,1.0,0.0,
588322,3.0,0.86198,0.37787375,0.29996753,0.14439902,9.0,0.0,1.0,0.0,
587208,5.0,0.59506,-0.37135923,-0.46443015,0.53751844,9.0,0.0,1.0,0.0,
587248,5.0,0.5907816,-0.4004846,-0.45223957,0.5316908,9.0,0.0,1.0,0.0,
586442,6.0,0.6046843,-0.48013353,-0.45947075,0.43513116,9.0,0.0,1.0,0.0,
586482,6.0,0.5871709,-0.5099796,-0.4466666,0.43848085,9.0,0.0,1.0,0.0,
580548,0.0,-0.43836185,0.6409969,0.49199772,0.3892683,9.0,0.0,1.0,0.0,
580588,0.0,-0.43574652,0.64321506,0.49236536,0.388079,9.0,0.0,1.0,0.0,
588811,1.0,-0.728433,-0.11088898,-0.5418507,-0.40014553,9.0,0.0,1.0,0.0,
588851,1.0,-0.7272686,-0.11214086,-0.5419186,-0.40181932,9.0,0.0,1.0,0.0,
587940,2.0,-0.88238066,-0.09392053,-0.42939115,0.15759447,9.0,0.0,1.0,0.0,
587980,2.0,-0.88130766,-0.09415169,-0.4314288,0.15789571,9.0,0.0,1.0,0.0,
588364,3.0,0.8620025,0.37715963,0.30142987,0.14308073,9.0,0.0,1.0,0.0,
588404,3.0,0.8616621,0.37733665,0.3023299,0.14276452,9.0,0.0,1.0,0.0,
585597,4.0,-0.7968462,0.28886718,0.49625307,-0.1787455,9.0,0.0,1.0,0.0,
585637,4.0,-0.7969936,0.31409073,0.4781185,-0.18487123,9.0,0.0,1.0,0.0,
587288,5.0,0.5939752,-0.43061593,-0.43436056,0.51934564,9.0,0.0,1.0,0.0,
587328,5.0,0.5866423,-0.45519635,-0.42276865,0.5162761,9.0,0.0,1.0,0.0,
586524,6.0,0.567182,-0.523454,-0.4431115,0.4523053,9.0,0.0,1.0,0.0,
586564,6.0,0.54765815,-0.5383784,-0.44104183,0.46079183,9.0,0.0,1.0,0.0,
580628,0.0,-0.4327083,0.6451226,0.4921144,0.38863024,9.0,0.0,1.0,0.0,
